Timestamp,"Match ID (Quals-1, Elims-12 / Playoffs-12)",Alliance,Team #,Auto # Speaker Notes,Auto # Amp Notes,Mobility,# Speaker Notes,# Amp Notes,Endgame endpoint,DC,No show :(,Outcome,Can score trap?,NOTES ABOUT MATCH 
3/2/2024 15:25:16,Qual 39,Red,2288,1,0,Success,DC,DC,DC,Mid Match: somewhere middle of teleop,they showed up,Win,No,
3/2/2024 16:10:32,Qual 44,Red,3008,0,0,Success,DC,DC,DC,Late Match: last half of teleop,they showed up,Loss,No,"Tippy, shooter is inconsistent "
3/2/2024 14:47:12,Quals-34,Red,5027,DC,DC,DC,DC,DC,DC,Early Match: Auto / opening seconds of teleop,they showed up,Win,No,DC.
3/2/2024 9:04:58,Quals-1,Red,8546,DC,DC,DC,DC,DC,DC,Early Match: Auto / opening seconds of teleop,they showed up,Win,,
3/2/2024 11:22:08,Qual 17,Red,8546,0,0,Failure,DC,DC,DC,Mid Match: somewhere middle of teleop,they showed up,Loss,,"Structure completely broke, seems like a consistent amp scorer tho"
3/2/2024 10:43:45,Qual 13,Red,604,3,0,Success,13,0,Park,No DC,they showed up,Win,,"THEY SCORED 13 NOTES PLUS 3 IN AUTO, extremely consistent with intaking and shooting, penalty from intaking 2 notes"
3/2/2024 16:43:25,Quals 48,Blue,Blue holistic,3,0,Success,13,0,Park,No DC,they showed up,Win,No,"8404 has 4 piece auto potential, 5026 is decent"
3/2/2024 16:23:38,Quals 45,Blue,Holistic blue,3,0,Success,13,0,Hang,No DC,they showed up,Loss,No,
3/2/2024 16:50:47,Quals 49,Blue,Blue holistic,1,0,Success,11,1,Hang,No DC,they showed up,Loss,No,Double hang and coopertition bonus
3/2/2024 9:01:46,quals-1,Red,841,0,0,Success,11,0,Park,No DC,they showed up,Win,,
3/2/2024 9:52:38,Quals-7,Red,1678,5,0,Success,10,1,Hang,No DC,they showed up,Win,,"Were able to recover quickly even when they intaked notes wrong or misscored, they did trap"
3/2/2024 16:29:02,Quals 46,Blue,Blue holistic,4,0,Success,10,1,Hang,Mid Match: somewhere middle of teleop,they showed up,Loss,No,3256 DC in the middle of match
3/2/2024 9:58:01,Quals-8,Red,581,2,0,Success,10,0,Hang,No DC,they showed up,Win,,"scored trap, only missed one speaker note, intaking was SO SMOOTH, only hit stage once, and missed trap initially but had plenty time to score again"
3/2/2024 15:33:11,604,Blue,604,5,0,Success,10,0,Neither,No DC,they showed up,Win,No,"8-13 cycle, speaker count might be wrong "
3/2/2024 16:09:58,44,Blue,604,2,0,Success,10,0,Park,No DC,they showed up,Win,No,"Too good, grab and go is perfect, auto was not as consistent this match (scouted team previously)"
3/2/2024 16:36:18,Qualms-47,Red,841,0,0,Failure,10,0,Hang,No DC,they showed up,Win,No,"4-5 sec per cycle, good speaker shoot"
3/2/2024 15:53:19,Qual-42,Red,581,2,0,Success,9,0,Hang,No DC,they showed up,Win,Success,intske any cycling was crazy smooth ! missed one speaker note total
3/2/2024 15:25:48,Quals-39,Red,1678,3,0,Success,8,3,Park,No DC,they showed up,Win,No,"missed one attempted speaker note, intakinf was SO SMOOTH ITS CRAZY and very very speedy cycles"
3/2/2024 13:42:10,Qual 26,Blue,1678,5,0,Success,8,2,Hang,No DC,they showed up,Win,,
3/2/2024 9:21:13,Quals-3,Red,668,1,0,Failure,8,0,Hang,No DC,they showed up,Win,,
3/2/2024 14:17:51,Quals-30,Blue,668,0,0,Success,8,0,Hang,No DC,they showed up,Loss,,"Lined up to speaker to shoot, fast cycles"
3/2/2024 14:47:42,Quals-34,Red,3256,1,0,Success,8,0,Hang,No DC,they showed up,Win,No,🔥
3/2/2024 16:09:41,Qual-44,Red,7419,1,0,Failure,8,0,Neither,No DC,they showed up,Loss,No,"missed one attempted speaker, pretty smooth cyclrs and good human player communication "
3/2/2024 10:03:15,Quals-5,Red,670,0,0,Success,7,4,Park,No DC,they showed up,Loss,,
